,Input1,Input2,Input3,Input4,Input5,Input6,Output1,Output2,Output3,Output4
0,0.00024172105390379503,0.0009668842156151802,0.0009668842156151802,0.0014503263234227704,0.0007251631617113851,0.0007251631617113851,0.00024172105390379503,0.0,0.00024172105390379503,0.0007251631617113851
1,0.0009668842156151802,0.0009668842156151802,0.0014503263234227704,0.0007251631617113851,0.0007251631617113851,0.00024172105390379503,0.0,0.00024172105390379503,0.0007251631617113851,0.0007251631617113851
2,0.0009668842156151802,0.0014503263234227704,0.0007251631617113851,0.0007251631617113851,0.00024172105390379503,0.0,0.00024172105390379503,0.0007251631617113851,0.0007251631617113851,0.00048344210780759005
3,0.0014503263234227704,0.0007251631617113851,0.0007251631617113851,0.00024172105390379503,0.0,0.00024172105390379503,0.0007251631617113851,0.0007251631617113851,0.00048344210780759005,0.0007251631617113851
4,0.0007251631617113851,0.0007251631617113851,0.00024172105390379503,0.0,0.00024172105390379503,0.0007251631617113851,0.0007251631617113851,0.00048344210780759005,0.0007251631617113851,0.0007251631617113851
5,0.0007251631617113851,0.00024172105390379503,0.0,0.00024172105390379503,0.0007251631617113851,0.0007251631617113851,0.00048344210780759005,0.0007251631617113851,0.0007251631617113851,0.001208605269518975
6,0.00024172105390379503,0.0,0.00024172105390379503,0.0007251631617113851,0.0007251631617113851,0.00048344210780759005,0.0007251631617113851,0.0007251631617113851,0.001208605269518975,0.0007251631617113851
7,0.0,0.00024172105390379503,0.0007251631617113851,0.0007251631617113851,0.00048344210780759005,0.0007251631617113851,0.0007251631617113851,0.001208605269518975,0.0007251631617113851,0.0007251631617113851
8,0.00024172105390379503,0.0007251631617113851,0.0007251631617113851,0.00048344210780759005,0.0007251631617113851,0.0007251631617113851,0.001208605269518975,0.0007251631617113851,0.0007251631617113851,0.00048344210780759005
9,0.0007251631617113851,0.0007251631617113851,0.00048344210780759005,0.0007251631617113851,0.0007251631617113851,0.001208605269518975,0.0007251631617113851,0.0007251631617113851,0.00048344210780759005,0.00024172105390379503
10,0.0007251631617113851,0.00048344210780759005,0.0007251631617113851,0.0007251631617113851,0.001208605269518975,0.0007251631617113851,0.0007251631617113851,0.00048344210780759005,0.00024172105390379503,0.00024172105390379503
11,0.00048344210780759005,0.0007251631617113851,0.0007251631617113851,0.001208605269518975,0.0007251631617113851,0.0007251631617113851,0.00048344210780759005,0.00024172105390379503,0.00024172105390379503,0.0
12,0.0007251631617113851,0.0007251631617113851,0.001208605269518975,0.0007251631617113851,0.0007251631617113851,0.00048344210780759005,0.00024172105390379503,0.00024172105390379503,0.0,0.0
13,0.0007251631617113851,0.001208605269518975,0.0007251631617113851,0.0007251631617113851,0.00048344210780759005,0.00024172105390379503,0.00024172105390379503,0.0,0.0,0.00024172105390379503
14,0.001208605269518975,0.0007251631617113851,0.0007251631617113851,0.00048344210780759005,0.00024172105390379503,0.00024172105390379503,0.0,0.0,0.00024172105390379503,0.001208605269518975
15,0.0007251631617113851,0.0007251631617113851,0.00048344210780759005,0.00024172105390379503,0.00024172105390379503,0.0,0.0,0.00024172105390379503,0.001208605269518975,0.0014503263234227704
16,0.0007251631617113851,0.00048344210780759005,0.00024172105390379503,0.00024172105390379503,0.0,0.0,0.00024172105390379503,0.001208605269518975,0.0014503263234227704,0.0009668842156151802
17,0.00048344210780759005,0.00024172105390379503,0.00024172105390379503,0.0,0.0,0.00024172105390379503,0.001208605269518975,0.0014503263234227704,0.0009668842156151802,0.00024172105390379503
18,0.00024172105390379503,0.00024172105390379503,0.0,0.0,0.00024172105390379503,0.001208605269518975,0.0014503263234227704,0.0009668842156151802,0.00024172105390379503,0.0007251631617113851
19,0.00024172105390379503,0.0,0.0,0.00024172105390379503,0.001208605269518975,0.0014503263234227704,0.0009668842156151802,0.00024172105390379503,0.0007251631617113851,0.0021754894851341556
20,0.0,0.0,0.00024172105390379503,0.001208605269518975,0.0014503263234227704,0.0009668842156151802,0.00024172105390379503,0.0007251631617113851,0.0021754894851341556,0.0029006526468455403
21,0.0,0.00024172105390379503,0.001208605269518975,0.0014503263234227704,0.0009668842156151802,0.00024172105390379503,0.0007251631617113851,0.0021754894851341556,0.0029006526468455403,0.0036258158085569255
22,0.00024172105390379503,0.001208605269518975,0.0014503263234227704,0.0009668842156151802,0.00024172105390379503,0.0007251631617113851,0.0021754894851341556,0.0029006526468455403,0.0036258158085569255,0.0031423737007493357
23,0.001208605269518975,0.0014503263234227704,0.0009668842156151802,0.00024172105390379503,0.0007251631617113851,0.0021754894851341556,0.0029006526468455403,0.0036258158085569255,0.0031423737007493357,0.0024172105390379505
24,0.0014503263234227704,0.0009668842156151802,0.00024172105390379503,0.0007251631617113851,0.0021754894851341556,0.0029006526468455403,0.0036258158085569255,0.0031423737007493357,0.0024172105390379505,0.005317863185883491
