,Input1,Input2,Input3,Input4,Input5,Input6,Output1,Output2,Output3,Output4
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012091898428053202
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012091898428053202,0.0012091898428053202
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202
34,0.0,0.0,0.0,0.0,0.0,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202
35,0.0,0.0,0.0,0.0,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0024183796856106403
36,0.0,0.0,0.0,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0024183796856106403,0.0012091898428053202
37,0.0,0.0,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0024183796856106403,0.0012091898428053202,0.022974607013301084
38,0.0,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0024183796856106403,0.0012091898428053202,0.022974607013301084,0.021765417170495766
39,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0024183796856106403,0.0012091898428053202,0.022974607013301084,0.021765417170495766,0.041112454655380895
40,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0024183796856106403,0.0012091898428053202,0.022974607013301084,0.021765417170495766,0.041112454655380895,0.02418379685610641
41,0.0012091898428053202,0.0012091898428053202,0.0012091898428053202,0.0024183796856106403,0.0012091898428053202,0.022974607013301084,0.021765417170495766,0.041112454655380895,0.02418379685610641,0.02781136638452237
42,0.0012091898428053202,0.0012091898428053202,0.0024183796856106403,0.0012091898428053202,0.022974607013301084,0.021765417170495766,0.041112454655380895,0.02418379685610641,0.02781136638452237,0.010882708585247883
43,0.0012091898428053202,0.0024183796856106403,0.0012091898428053202,0.022974607013301084,0.021765417170495766,0.041112454655380895,0.02418379685610641,0.02781136638452237,0.010882708585247883,0.010882708585247883
44,0.0024183796856106403,0.0012091898428053202,0.022974607013301084,0.021765417170495766,0.041112454655380895,0.02418379685610641,0.02781136638452237,0.010882708585247883,0.010882708585247883,0.007255139056831922
