,Input1,Input2,Input3,Input4,Input5,Input6,Output1,Output2,Output3,Output4
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009216589861751152
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009216589861751152,0.0009216589861751152
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009216589861751152,0.0009216589861751152,0.004608294930875576
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0009216589861751152,0.0009216589861751152,0.004608294930875576,0.003686635944700461
23,0.0,0.0,0.0,0.0,0.0,0.0009216589861751152,0.0009216589861751152,0.004608294930875576,0.003686635944700461,0.003686635944700461
24,0.0,0.0,0.0,0.0,0.0009216589861751152,0.0009216589861751152,0.004608294930875576,0.003686635944700461,0.003686635944700461,0.0018433179723502304
25,0.0,0.0,0.0,0.0009216589861751152,0.0009216589861751152,0.004608294930875576,0.003686635944700461,0.003686635944700461,0.0018433179723502304,0.016589861751152075
26,0.0,0.0,0.0009216589861751152,0.0009216589861751152,0.004608294930875576,0.003686635944700461,0.003686635944700461,0.0018433179723502304,0.016589861751152075,0.016589861751152075
27,0.0,0.0009216589861751152,0.0009216589861751152,0.004608294930875576,0.003686635944700461,0.003686635944700461,0.0018433179723502304,0.016589861751152075,0.016589861751152075,0.01566820276497696
28,0.0009216589861751152,0.0009216589861751152,0.004608294930875576,0.003686635944700461,0.003686635944700461,0.0018433179723502304,0.016589861751152075,0.016589861751152075,0.01566820276497696,0.003686635944700461
29,0.0009216589861751152,0.004608294930875576,0.003686635944700461,0.003686635944700461,0.0018433179723502304,0.016589861751152075,0.016589861751152075,0.01566820276497696,0.003686635944700461,0.0064516129032258064
30,0.004608294930875576,0.003686635944700461,0.003686635944700461,0.0018433179723502304,0.016589861751152075,0.016589861751152075,0.01566820276497696,0.003686635944700461,0.0064516129032258064,0.011981566820276497
31,0.003686635944700461,0.003686635944700461,0.0018433179723502304,0.016589861751152075,0.016589861751152075,0.01566820276497696,0.003686635944700461,0.0064516129032258064,0.011981566820276497,0.009216589861751152
32,0.003686635944700461,0.0018433179723502304,0.016589861751152075,0.016589861751152075,0.01566820276497696,0.003686635944700461,0.0064516129032258064,0.011981566820276497,0.009216589861751152,0.011059907834101382
33,0.0018433179723502304,0.016589861751152075,0.016589861751152075,0.01566820276497696,0.003686635944700461,0.0064516129032258064,0.011981566820276497,0.009216589861751152,0.011059907834101382,0.014746543778801843
34,0.016589861751152075,0.016589861751152075,0.01566820276497696,0.003686635944700461,0.0064516129032258064,0.011981566820276497,0.009216589861751152,0.011059907834101382,0.014746543778801843,0.018433179723502304
35,0.016589861751152075,0.01566820276497696,0.003686635944700461,0.0064516129032258064,0.011981566820276497,0.009216589861751152,0.011059907834101382,0.014746543778801843,0.018433179723502304,0.016589861751152075
36,0.01566820276497696,0.003686635944700461,0.0064516129032258064,0.011981566820276497,0.009216589861751152,0.011059907834101382,0.014746543778801843,0.018433179723502304,0.016589861751152075,0.014746543778801843
37,0.003686635944700461,0.0064516129032258064,0.011981566820276497,0.009216589861751152,0.011059907834101382,0.014746543778801843,0.018433179723502304,0.016589861751152075,0.014746543778801843,0.022119815668202765
38,0.0064516129032258064,0.011981566820276497,0.009216589861751152,0.011059907834101382,0.014746543778801843,0.018433179723502304,0.016589861751152075,0.014746543778801843,0.022119815668202765,0.02488479262672811
