,Input1,Input2,Input3,Input4,Input5,Input6,Output1,Output2,Output3,Output4
0,0.0,0.002369668246445498,0.007109004739336493,0.009478672985781991,0.009478672985781991,0.007109004739336493,0.007109004739336493,0.014218009478672987,0.023696682464454978,0.03554502369668247
1,0.002369668246445498,0.007109004739336493,0.009478672985781991,0.009478672985781991,0.007109004739336493,0.007109004739336493,0.014218009478672987,0.023696682464454978,0.03554502369668247,0.026066350710900476
2,0.007109004739336493,0.009478672985781991,0.009478672985781991,0.007109004739336493,0.007109004739336493,0.014218009478672987,0.023696682464454978,0.03554502369668247,0.026066350710900476,0.014218009478672987
3,0.009478672985781991,0.009478672985781991,0.007109004739336493,0.007109004739336493,0.014218009478672987,0.023696682464454978,0.03554502369668247,0.026066350710900476,0.014218009478672987,0.0
4,0.009478672985781991,0.007109004739336493,0.007109004739336493,0.014218009478672987,0.023696682464454978,0.03554502369668247,0.026066350710900476,0.014218009478672987,0.0,0.0
5,0.007109004739336493,0.007109004739336493,0.014218009478672987,0.023696682464454978,0.03554502369668247,0.026066350710900476,0.014218009478672987,0.0,0.0,0.0
6,0.007109004739336493,0.014218009478672987,0.023696682464454978,0.03554502369668247,0.026066350710900476,0.014218009478672987,0.0,0.0,0.0,0.0
7,0.014218009478672987,0.023696682464454978,0.03554502369668247,0.026066350710900476,0.014218009478672987,0.0,0.0,0.0,0.0,0.0
8,0.023696682464454978,0.03554502369668247,0.026066350710900476,0.014218009478672987,0.0,0.0,0.0,0.0,0.0,0.0
9,0.03554502369668247,0.026066350710900476,0.014218009478672987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.026066350710900476,0.014218009478672987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.014218009478672987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002369668246445498
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002369668246445498,0.011848341232227489
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002369668246445498,0.011848341232227489,0.011848341232227489
49,0.0,0.0,0.0,0.0,0.0,0.0,0.002369668246445498,0.011848341232227489,0.011848341232227489,0.009478672985781991
50,0.0,0.0,0.0,0.0,0.0,0.002369668246445498,0.011848341232227489,0.011848341232227489,0.009478672985781991,0.0
51,0.0,0.0,0.0,0.0,0.002369668246445498,0.011848341232227489,0.011848341232227489,0.009478672985781991,0.0,0.007109004739336493
