,Input1,Input2,Input3,Input4,Input5,Output1,Output2,Output3,Output4,Output5
0,0.0009646523806242679,0.00034451870736580995,0.00034451870736580995,0.00013780748294632398,0.0,0.000792393026941363,3.4451870736580995e-05,0.00044787431957555294,0.00034451870736580995,0.000654585543995039
1,0.00034451870736580995,0.00034451870736580995,0.00013780748294632398,0.0,0.000792393026941363,3.4451870736580995e-05,0.00044787431957555294,0.00034451870736580995,0.000654585543995039,0.0013780748294632398
2,0.00034451870736580995,0.00013780748294632398,0.0,0.000792393026941363,3.4451870736580995e-05,0.00044787431957555294,0.00034451870736580995,0.000654585543995039,0.0013780748294632398,0.0017225935368290497
3,0.00013780748294632398,0.0,0.000792393026941363,3.4451870736580995e-05,0.00044787431957555294,0.00034451870736580995,0.000654585543995039,0.0013780748294632398,0.0017225935368290497,0.0024805346930338317
4,0.0,0.000792393026941363,3.4451870736580995e-05,0.00044787431957555294,0.00034451870736580995,0.000654585543995039,0.0013780748294632398,0.0017225935368290497,0.0024805346930338317,0.0024460828222972507
5,0.000792393026941363,3.4451870736580995e-05,0.00044787431957555294,0.00034451870736580995,0.000654585543995039,0.0013780748294632398,0.0017225935368290497,0.0024805346930338317,0.0024460828222972507,0.0027561496589264796
6,3.4451870736580995e-05,0.00044787431957555294,0.00034451870736580995,0.000654585543995039,0.0013780748294632398,0.0017225935368290497,0.0024805346930338317,0.0024460828222972507,0.0027561496589264796,0.002893957141872804
7,0.00044787431957555294,0.00034451870736580995,0.000654585543995039,0.0013780748294632398,0.0017225935368290497,0.0024805346930338317,0.0024460828222972507,0.0027561496589264796,0.002893957141872804,0.0027906015296630606
8,0.00034451870736580995,0.000654585543995039,0.0013780748294632398,0.0017225935368290497,0.0024805346930338317,0.0024460828222972507,0.0027561496589264796,0.002893957141872804,0.0027906015296630606,0.006063529249638255
9,0.000654585543995039,0.0013780748294632398,0.0017225935368290497,0.0024805346930338317,0.0024460828222972507,0.0027561496589264796,0.002893957141872804,0.0027906015296630606,0.006063529249638255,0.0011369117343071728
