,Input1,Input2,Input3,Input4,Input5,Input6,Output1,Output2,Output3,Output4
0,0.16666666666666669,0.1657142857142857,0.19714285714285715,0.1895238095238095,0.1961904761904762,0.17523809523809525,0.16857142857142857,0.18095238095238095,0.21523809523809523,0.25333333333333335
1,0.004761904761904762,0.0038095238095238095,0.0009523809523809524,0.0009523809523809524,0.0009523809523809524,0.002857142857142857,0.002857142857142857,0.011428571428571429,0.02476190476190476,0.02476190476190476
2,0.3457142857142857,0.41523809523809524,0.42857142857142855,0.40380952380952384,0.3323809523809524,0.28285714285714286,0.24476190476190476,0.24190476190476193,0.26857142857142857,0.29428571428571426
3,0.05714285714285714,0.07142857142857142,0.06285714285714286,0.07333333333333333,0.04857142857142857,0.07238095238095238,0.06,0.06857142857142857,0.05619047619047619,0.08285714285714285
4,0.009523809523809525,0.004761904761904762,0.004761904761904762,0.011428571428571429,0.007619047619047619,0.006666666666666667,0.002857142857142857,0.007619047619047619,0.01238095238095238,0.01238095238095238
5,0.6838095238095239,0.679047619047619,0.6647619047619048,0.6923809523809524,0.8285714285714286,0.8961904761904762,0.9447619047619048,0.8761904761904763,0.7980952380952381,0.9561904761904763
6,0.01238095238095238,0.01238095238095238,0.013333333333333334,0.01238095238095238,0.014285714285714285,0.010476190476190476,0.017142857142857144,0.01904761904761905,0.01904761904761905,0.01238095238095238
7,0.1457142857142857,0.16,0.16,0.14857142857142858,0.17904761904761904,0.21047619047619048,0.23238095238095235,0.22476190476190477,0.23523809523809522,0.24571428571428572
8,0.5380952380952381,0.6038095238095238,0.6847619047619047,0.6838095238095239,0.679047619047619,0.6647619047619048,0.6923809523809524,0.8285714285714286,0.8961904761904762,0.9447619047619048
9,0.017142857142857144,0.017142857142857144,0.016190476190476193,0.0038095238095238095,0.0038095238095238095,0.0,0.004761904761904762,0.008571428571428572,0.010476190476190476,0.02
10,0.016190476190476193,0.014285714285714285,0.016190476190476193,0.013333333333333334,0.015238095238095238,0.030476190476190476,0.032380952380952385,0.04476190476190476,0.032380952380952385,0.04285714285714286
11,0.039047619047619046,0.039047619047619046,0.04761904761904762,0.021904761904761906,0.009523809523809525,0.004761904761904762,0.004761904761904762,0.011428571428571429,0.007619047619047619,0.006666666666666667
12,0.02476190476190476,0.015238095238095238,0.030476190476190476,0.03619047619047619,0.03619047619047619,0.013333333333333334,0.016190476190476193,0.02476190476190476,0.03142857142857143,0.037142857142857144
13,0.22476190476190477,0.23523809523809522,0.24571428571428572,0.24571428571428572,0.24761904761904763,0.2742857142857143,0.28190476190476194,0.28,0.28476190476190477,0.3104761904761905
14,0.04476190476190476,0.032380952380952385,0.04285714285714286,0.04,0.03428571428571429,0.04666666666666666,0.04285714285714286,0.06285714285714286,0.06,0.05714285714285714
15,0.032380952380952385,0.022857142857142857,0.017142857142857144,0.017142857142857144,0.016190476190476193,0.0038095238095238095,0.0038095238095238095,0.0,0.004761904761904762,0.008571428571428572
16,0.0038095238095238095,0.0,0.004761904761904762,0.008571428571428572,0.010476190476190476,0.02,0.017142857142857144,0.021904761904761906,0.02,0.01904761904761905
17,0.01904761904761905,0.01238095238095238,0.015238095238095238,0.01904761904761905,0.021904761904761906,0.03428571428571429,0.030476190476190476,0.02857142857142857,0.013333333333333334,0.013333333333333334
18,0.014285714285714285,0.010476190476190476,0.017142857142857144,0.01904761904761905,0.01904761904761905,0.01238095238095238,0.015238095238095238,0.01904761904761905,0.021904761904761906,0.03428571428571429
19,0.21047619047619048,0.23238095238095235,0.22476190476190477,0.23523809523809522,0.24571428571428572,0.24571428571428572,0.24761904761904763,0.2742857142857143,0.28190476190476194,0.28
20,0.07238095238095238,0.06,0.06857142857142857,0.05619047619047619,0.08285714285714285,0.08285714285714285,0.07809523809523809,0.08666666666666667,0.10095238095238096,0.11142857142857143
21,0.016190476190476193,0.02476190476190476,0.03142857142857143,0.037142857142857144,0.04666666666666666,0.032380952380952385,0.022857142857142857,0.017142857142857144,0.017142857142857144,0.016190476190476193
22,0.1895238095238095,0.1961904761904762,0.17523809523809525,0.16857142857142857,0.18095238095238095,0.21523809523809523,0.25333333333333335,0.3038095238095238,0.3076190476190476,0.32380952380952377
23,0.12095238095238096,0.1457142857142857,0.16,0.16,0.14857142857142858,0.17904761904761904,0.21047619047619048,0.23238095238095235,0.22476190476190477,0.23523809523809522
24,0.013333333333333334,0.01238095238095238,0.014285714285714285,0.010476190476190476,0.017142857142857144,0.01904761904761905,0.01904761904761905,0.01238095238095238,0.015238095238095238,0.01904761904761905
25,0.14666666666666667,0.15333333333333332,0.1419047619047619,0.15428571428571428,0.16857142857142857,0.17333333333333334,0.18095238095238095,0.15714285714285714,0.16666666666666669,0.1657142857142857
26,0.015238095238095238,0.030476190476190476,0.032380952380952385,0.04476190476190476,0.032380952380952385,0.04285714285714286,0.04,0.03428571428571429,0.04666666666666666,0.04285714285714286
27,0.007619047619047619,0.01238095238095238,0.01238095238095238,0.013333333333333334,0.01238095238095238,0.014285714285714285,0.010476190476190476,0.017142857142857144,0.01904761904761905,0.01904761904761905
28,0.08666666666666667,0.10095238095238096,0.11142857142857143,0.09619047619047619,0.09619047619047619,0.10285714285714286,0.12095238095238096,0.1457142857142857,0.16,0.16
29,0.15428571428571428,0.16857142857142857,0.17333333333333334,0.18095238095238095,0.15714285714285714,0.16666666666666669,0.1657142857142857,0.19714285714285715,0.1895238095238095,0.1961904761904762
30,0.09619047619047619,0.10285714285714286,0.12095238095238096,0.1457142857142857,0.16,0.16,0.14857142857142858,0.17904761904761904,0.21047619047619048,0.23238095238095235
31,0.04,0.03428571428571429,0.04666666666666666,0.04285714285714286,0.06285714285714286,0.06,0.05714285714285714,0.07142857142857142,0.06285714285714286,0.07333333333333333
32,0.10285714285714286,0.12095238095238096,0.1457142857142857,0.16,0.16,0.14857142857142858,0.17904761904761904,0.21047619047619048,0.23238095238095235,0.22476190476190477
33,0.24761904761904763,0.2742857142857143,0.28190476190476194,0.28,0.28476190476190477,0.3104761904761905,0.3619047619047619,0.3838095238095238,0.38476190476190475,0.4123809523809524
