,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5
Exp1,0.03217,0.26142,0.0761,0.14225,0.06352,0.06507,0.1845
Exp2,0.03046,0.23288,0.13276,0.06904,0.11746,0.12521,0.04866
Exp3,0.03022,0.36098,0.1841,0.1279,0.18182,0.18995,0.10448
Exp4,0.03003,0.45822,0.22164,0.18799,0.22534,0.23481,0.13995
Exp5,0.02977,0.55046,0.27069,0.2569,0.26719,0.27225,0.13499
Exp6,0.02934,0.68644,0.3641,0.37909,0.33248,0.28225,0.0687
Exp7,0.02851,0.97278,0.55628,0.6058,0.44194,0.20076,0.18507
Exp8,0.02764,1.43583,0.89233,0.89009,0.45017,0.12938,0.50368
Exp9,0.02638,1.79786,1.15703,0.99505,0.29748,0.51012,0.74481
Exp10,0.02546,2.18706,1.36758,1.01101,0.15888,0.93076,0.99964
Exp11,0.02508,2.37536,1.37851,1.00593,0.14416,1.1345,1.19258
Exp12,0.02484,2.47924,1.34946,0.99661,0.16345,1.24018,1.32952
Exp13,0.02477,2.66192,1.37183,1.01469,0.20264,1.37893,1.49393
Exp14,0.02452,2.82398,1.4067,1.04797,0.23656,1.488,1.62102
Exp15,0.02441,2.98526,1.44622,1.07578,0.27646,1.60151,1.73829
Exp16,0.02427,3.15207,1.49917,1.11626,0.31139,1.71113,1.84852
Exp17,0.02415,3.305,1.54677,1.14135,0.35536,1.82331,1.94348
Exp18,0.02403,3.43881,1.59191,1.17074,0.38894,1.91683,2.02363
Exp19,0.02394,3.5525,1.63436,1.19295,0.4237,1.99995,2.08486
Exp20,0.02371,3.62663,1.66274,1.19633,0.46129,2.06625,2.11526
Exp21,0.02353,3.4753,1.60151,1.10878,0.50199,2.0245,1.98315
Exp22,0.02336,3.41357,1.57867,1.05234,0.54679,2.02607,1.91021
Exp23,0.02324,3.21572,1.50148,0.93879,0.59583,1.96215,1.73205
Exp24,0.02308,3.15585,1.47974,0.88667,0.63959,1.95741,1.65621
Exp25,0.02288,3.07303,1.44811,0.81201,0.69535,1.9491,1.55068
Exp26,0.02275,3.00309,1.42183,0.75184,0.74258,1.93853,1.45684
Exp27,0.02263,2.89312,1.37922,0.68126,0.78342,1.9011,1.33262
Exp28,0.02252,2.75903,1.32429,0.59744,0.82706,1.84761,1.18486
Exp29,0.02264,2.71178,1.29817,0.54116,0.87995,1.84391,1.09605
Exp30,0.02232,2.68392,1.27126,0.47989,0.94848,1.85695,1.00457
