,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.02351,0.00241,0.02265,0.02438,0.02089,0.03031
TestRMSE,1.90417,0.76192,1.63152,2.17682,0.35222,3.47716
Step1,0.30329,0.06518,0.27996,0.32661,0.11648,0.39697
Step2,0.82444,0.2691,0.72815,0.92074,0.22176,1.11429
Step3,0.96699,0.32808,0.84958,1.08439,0.14595,1.51488
Step4,1.04105,0.54625,0.84557,1.23652,0.11928,2.04964
Step5,0.69302,0.67298,0.4522,0.93384,0.08989,2.29622
