,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5
Exp1,0.02976,0.34484,0.17607,0.13973,0.13764,0.14121,0.17177
Exp2,0.02949,0.42751,0.18994,0.20073,0.20111,0.16697,0.19512
Exp3,0.0287,0.52039,0.21448,0.27545,0.27039,0.18611,0.20295
Exp4,0.02763,0.78765,0.32451,0.49206,0.44861,0.1981,0.18021
Exp5,0.02667,1.38166,0.67006,0.93737,0.72427,0.09276,0.21946
Exp6,0.02555,2.35319,1.32559,1.18135,0.4499,0.59303,1.35302
Exp7,0.02466,3.29001,1.91582,0.74543,0.50496,1.4428,2.06434
Exp8,0.02395,4.4822,2.98605,1.11587,2.28354,1.9314,0.99176
Exp9,0.02358,4.58714,2.7431,1.11585,2.74443,1.91446,1.03687
Exp10,0.02333,4.52724,2.60147,0.93754,2.72435,2.07231,1.06429
Exp11,0.02294,4.57375,2.55693,0.9368,2.73894,2.23616,1.00074
Exp12,0.02274,4.58616,2.50405,0.95981,2.71208,2.36008,0.95706
Exp13,0.02252,4.62708,2.5023,1.02119,2.72292,2.42733,0.89404
Exp14,0.02221,4.65548,2.4992,1.08051,2.73134,2.47679,0.81566
Exp15,0.02197,4.7357,2.52188,1.1507,2.78292,2.53926,0.74182
Exp16,0.02176,4.82922,2.55278,1.21924,2.85862,2.5904,0.66054
Exp17,0.02152,4.92732,2.57567,1.28517,2.94909,2.63641,0.58737
Exp18,0.02115,4.95188,2.55532,1.30373,2.98481,2.67256,0.48999
Exp19,0.02113,5.07056,2.61001,1.33009,3.09992,2.70822,0.43051
Exp20,0.02057,5.12691,2.62303,1.34144,3.18792,2.70597,0.34689
Exp21,0.02052,5.2012,2.64209,1.33708,3.29292,2.71354,0.27831
Exp22,0.02013,5.26384,2.65061,1.31436,3.407,2.70156,0.22067
Exp23,0.01998,5.34552,2.65848,1.2788,3.53276,2.71272,0.18015
Exp24,0.01968,5.41244,2.64419,1.22132,3.66288,2.71575,0.13844
Exp25,0.01945,5.47444,2.63036,1.1578,3.77836,2.72313,0.13668
Exp26,0.01937,5.5386,2.62186,1.1103,3.90468,2.70113,0.16296
Exp27,0.01927,5.64284,2.63565,1.05112,4.04524,2.71939,0.17633
Exp28,0.01911,5.74385,2.64724,0.99758,4.17256,2.74601,0.19472
Exp29,0.01894,5.80252,2.6457,0.95704,4.26793,2.73653,0.22318
Exp30,0.01886,5.89184,2.64643,0.891,4.38021,2.7695,0.24482
