,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.02257,0.00317,0.02144,0.02371,0.01886,0.02976
TestRMSE,4.20343,1.72334,3.58674,4.82012,0.34484,5.89184
Step1,2.16903,0.87613,1.85551,2.48255,0.17607,2.98605
Step2,1.00288,0.32501,0.88658,1.11919,0.13973,1.34144
Step3,2.59008,1.32038,2.11758,3.06257,0.13764,4.38021
Step4,2.04439,0.95873,1.70131,2.38746,0.09276,2.7695
Step5,0.54536,0.45504,0.38252,0.70819,0.13668,2.06434
